#str         HOA (kJ/mol)          error (kJ/mol)   
199 53.7742       2.0838876304
200 48.4697       1.1231135381
201 49.9269       2.7156870064
202 50.5407       2.1432268840
203 51.0619       2.9996609824
204 48.3851       1.8669216789
205 47.6219       0.4835797497
206 50.1451       2.1054614419
207 49.5425       1.6219698188
208 50.2585       1.5366479963
209 52.0963       2.1571737335
210 49.467       1.7860842546
211 50.6112       0.8747160247
212 49.896       1.4932011795
213 49.373       0.9368254224
214 49.4132       0.5274914735
215 49.5496       1.0453465365
216 51.1304       3.3412506588
217 49.2156       3.3369106247
218 46.7003       1.8136296615
219 50.0329       1.3076963539
220 51.4662       2.7391454804
221 49.0865       1.9581914588
222 49.7477       1.6862879217
223 50.366       1.7365063408
224 50.2504       1.8445450957
225 50.3864       1.5120760212
226 51.1665       1.3022164446
227 49.1449       1.9830479863
228 50.9003       3.2290236687
229 49.5939       1.3953881007
230 49.7825       2.0500342159
231 52.1653       1.9740656221
232 50.3092       0.8385227723
233 51.1912       1.6004053841
234 50.658       1.8052580505
235 49.3261       0.7011532819
236 49.9774       3.3150288298
237 51.83       2.4265007870
238 50.5749       1.8796465290
239 50.2266       1.0177027891
240 51.7036       1.6208524037
241 50.7664       0.7691486404
242 50.7004       1.1189982187
243 50.9453       1.7508112502
244 52.4575       3.1420461155
245 51.1114       1.4626995929
246 53.3235       1.8568426059
247 51.0343       2.3152177107
248 50.8346       1.7231304197
249 50.4076       1.7224045436
250 54.143       3.4466882383
251 53.2276       1.2748775383
252 50.9768       2.2376610591
253 56.4534       4.1375817451
254 53.5781       2.6072431044
255 53.0467       2.6051512636
256 53.0492       1.7354040713
257 49.5015       0.7575869624
258 51.7357       1.6180590745
259 54.9558       1.8746508044
