#str         Henry coeff (mol/kg/Pa)          error (mol/kg/Pa)   
0        0.00067637       3.61128e-05
1        0.000468876       1.46982e-05
2        0.000470195       2.03125e-05
3        0.000803881       7.30927e-05
4        0.00036387       6.08856e-05
5        0.00113573       8.57088e-05
6        0.00131342       0.000108129
7        0.000402413       7.57004e-05
8        0.00044332       1.71958e-05
9        0.000793451       2.66585e-05
10        0.000553088       6.01208e-05
11        0.000824242       2.19229e-05
12        0.000391713       2.14142e-05
13        0.00072248       3.67891e-05
14        0.000742854       5.4391e-05
15        0.000701434       0.000101121
16        0.000435223       1.80634e-05
17        0.0016132       0.000127084
18        0.00052641       4.54309e-05
19        0.000551825       1.46192e-05
20        0.000457568       1.67937e-05
21        0.000729676       1.07886e-05
22        0.00122411       0.000137075
23        0.000784275       3.22848e-05
24        0.000445509       4.14536e-05
25        0.00102932       3.99383e-05
26        0.000797606       6.43801e-05
27        0.000832257       9.21809e-05
28        0.00061592       2.40139e-05
29        0.000732301       4.47529e-05
30        0.00045384       1.72427e-05
31        0.00057242       4.7614e-05
32        0.00127775       0.000125922
33        0.000938498       4.53139e-05
34        0.000603305       2.29065e-05
35        0.000896523       3.90938e-05
36        0.000826773       5.31695e-05
37        0.000853655       1.85807e-05
38        0.000601647       4.63316e-05
39        0.000325236       1.42281e-05
40        0.00073046       1.01671e-05
41        0.00081999       5.01345e-05
42        0.000641824       3.90873e-05
43        0.000743631       2.24535e-05
44        0.000770554       1.68388e-05
45        0.000599155       2.36851e-05
46        0.0012325       7.63163e-05
47        0.000794318       2.71586e-05
48        0.000745369       1.3196e-05
49        0.000786899       2.16168e-05
50        0.000476576       2.4214e-05
51        0.000600644       1.99029e-05
52        0.000630275       3.85644e-05
53        0.000578834       2.99263e-05
54        0.000618344       2.23671e-05
55        0.000673335       3.59178e-05
56        0.000795311       5.35255e-05
57        0.000676011       5.0462e-05
58        0.000896798       3.22324e-05
59        0.000702835       3.59166e-05
60        0.000512649       2.88558e-05
61        0.00108776       7.23182e-05
62        0.000717328       3.63781e-05
63        0.000595342       1.84986e-05
64        0.000757185       3.32658e-05
65        0.0037222       0.00061842
66        0.00083416       3.82781e-05
67        0.00038528       1.94184e-05
68        0.00111543       6.6914e-05
69        0.000718468       7.7133e-05
70        0.00211062       0.000460001
71        0.00136669       4.51227e-05
72        0.000577945       2.10526e-05
73        0.00080621       0.000114843
74        0.000739825       1.45565e-05
75        0.0006256       4.30999e-05
76        0.000565794       4.68889e-05
77        0.000551788       2.4158e-05
78        0.000645906       1.30749e-05
79        0.000547587       3.17073e-05
80        0.0102632       0.00283311
81        0.000810873       9.82642e-05
82        0.000732369       4.2712e-05
83        0.00125063       9.76074e-05
84        0.000680097       2.36055e-05
85        0.000786452       3.42851e-05
86        0.000615243       3.69277e-05
87        0.00238038       0.000229708
88        0.00104378       7.51721e-05
89        0.00137323       0.000140936
90        0.000757761       1.64496e-05
91        0.000842154       0.000150462
92        0.00107057       6.19838e-05
93        0.000892961       5.92901e-05
94        0.00147659       0.000143762
95        0.000421187       6.97613e-06
96        0.000848761       0.000105417
97        0.00214481       0.000212841
98        0.000845859       1.65603e-05
99        0.0011679       0.000122702
100        0.0013361       4.50723e-05
101        0.00128879       0.00012648
102        0.0012845       3.98079e-05
103        0.000595734       2.64247e-05
104        0.000431591       5.55112e-05
105        0.00110715       6.38565e-05
106        0.000656808       5.01052e-05
107        0.000891473       0.000130739
108        0.00242564       0.000327554
109        0.000771337       2.773e-05
110        0.00180892       0.000286893
111        0.00206558       0.00015707
112        0.000664764       6.38685e-05
113        0.000756199       0.000144703
114        0.000811961       7.29966e-05
115        0.000838498       2.60633e-05
116        0.000888227       3.96998e-05
117        0.000545715       7.01711e-05
118        0.0128745       0.00130192
119        0.000845888       2.51596e-05
120        0.000806885       1.36818e-05
121        0.000737955       3.33847e-05
122        0.000733482       9.18423e-05
123        0.000493064       2.41439e-05
124        0.00116037       0.000126331
125        0.00110372       6.98344e-05
126        0.00209104       0.000104131
127        0.000741342       2.42439e-05
128        0.00153269       0.000175406
129        0.000548756       1.89584e-05
130        0.00101594       6.85659e-05
131        0.000468102       5.19502e-05
132        0.00138862       2.63571e-05
133        0.00082229       9.66913e-05
134        0.00203643       8.24724e-05
135        0.00108347       3.02662e-05
136        0.00152239       0.000188418
137        0.00139963       7.77811e-05
138        0.00106564       8.33184e-05
139        0.00178851       4.46707e-05
140        0.00172172       0.000149218
141        0.00139939       5.41277e-05
142        0.00117251       5.87915e-05
143        0.00322642       0.000567763
144        0.000566266       7.29264e-06
145        0.0023954       0.000336093
146        0.00119957       6.96646e-05
147        0.00166668       0.000117299
148        0.000806514       5.9809e-05
149        0.000886295       3.02366e-05
150        0.00104494       0.000143251
151        0.000724563       0.000114375
152        0.000628113       2.06592e-05
153        0.00102347       6.67974e-05
154        0.00104167       6.08377e-05
155        0.000751291       5.9613e-05
156        0.00149066       0.000133041
157        0.00104584       7.58408e-05
158        0.00107864       0.000113943
159        0.00213361       0.00015081
160        0.00235272       0.00018882
161        0.000935828       5.4408e-05
162        0.00247142       0.000134018
163        0.00177615       0.000103272
164        0.00236935       9.27474e-05
165        0.00142096       3.60061e-05
166        0.00142365       7.69088e-05
167        0.00129376       6.16354e-05
168        0.00269066       0.000145451
169        0.00571333       0.000450658
170        0.00138871       6.81789e-05
171        0.000881976       3.67146e-05
172        0.000753668       5.56751e-05
173        0.00132973       0.000198021
174        0.00323226       0.000805204
175        0.00115692       0.000134008
176        0.00168132       0.000133438
177        0.00184982       5.8323e-05
178        0.00282337       0.000382642
179        0.00153354       0.000164972
180        0.00238411       0.000366756
181        0.00103609       0.000106334
182        0.0014499       4.47543e-05
183        0.000662571       2.27025e-05
184        0.000795815       0.000106273
185        0.000872998       2.23169e-05
186        0.000964211       3.03089e-05
187        0.00118802       0.000103182
188        0.000488666       4.39159e-05
189        0.0013814       6.12364e-05
190        0.00084563       0.000164777
191        0.00109127       1.98966e-05
192        0.00111239       2.62564e-05
193        0.00089261       7.13469e-05
194        0.000995059       4.12057e-05
195        0.00255333       0.000153388
196        0.00252967       0.000319815
197        0.00401089       0.000627146
198        0.00203128       0.000395818
199        0.00283737       0.00010532
200        0.00187748       8.10434e-05
201        0.000977896       5.42722e-05
202        0.0018676       0.000139628
203        0.000752612       4.33812e-05
204        0.00203908       4.79845e-05
205        0.00100311       0.000134338
206        0.000907475       0.000117576
207        0.000737238       0.000174173
208        0.00114005       5.75667e-05
209        0.00125728       0.000292465
210        0.000526915       2.25802e-05
211        0.0015425       0.000118011
212        0.00154616       0.0002198
213        0.000949698       4.75981e-05
214        0.00138618       9.52361e-05
215        0.0018932       3.41566e-05
216        0.00120901       6.895e-05
217        0.0010317       0.000234247
218        0.000549056       2.90085e-06
219        0.00326152       0.000381633
220        0.00192009       8.11034e-05
221        0.000943434       3.08016e-05
222        0.000960172       1.71895e-05
223        0.00178175       0.000296632
224        0.000925744       9.2075e-05
225        0.00125205       4.08043e-05
226        0.00325071       0.00286364
227        0.000670708       5.13691e-05
228        0.00276521       0.000442328
229        0.000897486       4.37656e-05
230        0.00132125       0.000248096
231        0.00170245       9.18528e-05
232        0.00306499       0.000539781
233        0.0300156       0.00214176
234        0.00116547       3.09805e-05
235        0.000964514       1.14634e-05
236        0.0172785       0.00230662
237        0.000723494       3.6932e-05
238        0.00162665       5.06062e-05
239        0.00118565       6.45998e-05
240        0.00411878       0.000404148
241        0.00096661       7.0411e-05
242        0.0162099       0.00537467
243        0.00279919       0.000291675
244        0.00266104       0.000245198
245        0.000731514       7.24978e-05
246        0.00149392       5.89217e-05
247        0.0026348       0.000203965
248        0.00343601       8.5063e-05
249        0.00413236       0.000444183
250        0.00161684       6.42246e-05
251        0.00144924       0.000179947
252        0.00201888       0.000104375
253        0.00262143       0.000341458
254        0.00230495       9.92599e-05
255        0.00100234       0.000144888
256        0.00133371       4.80836e-05
257        0.00164421       0.000384483
258        0.00427576       0.00131579
259        0.00205753       0.000147206
260        0.00165831       0.000112732
261        0.0094605       0.00145065
262        0.00125056       0.000128359
263        0.00156551       5.68308e-05
264        0.0017626       7.07742e-05
265        0.00122196       0.000161291
266        0.00302078       0.000424167
267        0.00106295       4.71288e-05
268        0.00219493       0.000326265
269        0.00241299       0.000581733
270        0.00286005       0.000274816
271        0.00782152       0.00102137
272        0.00174494       4.16645e-05
273        0.00154002       4.31232e-05
274        0.0013049       4.88457e-05
275        0.000806546       0.000121064
276        0.00208811       0.000382339
277        0.00119527       0.000212684
278        0.00117574       0.000164522
279        0.0249589       0.00676863
280        0.000795342       9.50523e-05
281        0.00111115       0.000843027
282        0.00160753       0.000110626
283        0.00171472       9.14938e-05
284        0.00194993       5.25644e-05
285        0.00215733       0.000136561
286        0.00148129       9.82669e-05
287        0.0030341       0.000232673
288        0.00156805       0.000244866
289        0.00252818       0.000176785
290        0.00113605       8.46526e-05
291        0.013489       0.00359057
292        0.00135911       0.000382533
293        0.00541379       0.00169997
294        0.00179525       0.00010438
295        0.00799438       0.00146735
296        0.0337285       0.012316
297        0.00274179       0.000633071
298        0.00297333       0.000103356
299        0.00179552       7.13149e-05
300        0.00246638       0.000763051
301        0.00147205       0.000132101
302        0.00211167       3.64722e-05
303        0.00113532       6.11736e-05
304        0.00442312       0.000554097
305        0.00146929       7.0202e-05
306        0.00287443       0.000775329
307        0.00187885       7.01998e-05
308        0.00184127       0.000139424
309        0.00258185       0.000859032
310        0.0222234       0.00379395
311        0.00117076       0.00011782
312        0.0190993       0.000764491
313        0.0017807       0.000216444
314        0.0020184       0.000119329
315        0.000828265       6.28068e-05
316        0.00458399       0.000222046
317        0.00185926       0.000342865
318        0.00162878       8.21823e-05
319        0.0992491       0.030732
320        0.000151489       5.91743e-06
321        0.00015449       5.68722e-06
322        0.000166306       4.49018e-06
323        0.000136991       2.69541e-06
324        0.000222532       9.69128e-06
325        0.000137935       1.23303e-05
326        0.000238776       1.06888e-05
327        0.000228426       8.40573e-06
328        0.000348581       4.2278e-05
329        0.000228429       2.31663e-05
330        0.000152935       1.46991e-05
331        0.000152368       1.5306e-05
332        0.000117899       6.25296e-06
333        0.000131495       9.55553e-06
