#str         Henry coeff (mol/kg/Pa)          error (mol/kg/Pa)   
199        0.000105067       5.13316e-06
200        7.06193e-05       4.40882e-06
201        0.00021077       8.02039e-06
202        7.14764e-05       6.42582e-06
203        7.62822e-05       1.17983e-06
204        0.000213074       1.10278e-05
205        0.000101711       2.08513e-06
206        0.000212394       1.13005e-05
207        8.7088e-05       1.61703e-06
208        0.000166889       5.98594e-06
209        0.000214935       4.78085e-06
210        6.72584e-05       2.4343e-06
211        0.000238685       2.0062e-05
212        0.000118202       9.08223e-06
213        0.000469034       2.76204e-05
214        0.000331082       2.74832e-05
215        0.000263803       1.81521e-05
216        0.000126561       3.07391e-05
217        0.000115125       1.74157e-05
218        0.000117667       9.06264e-06
219        0.000326237       7.21216e-06
220        0.000119328       1.58665e-05
221        0.000375901       3.19037e-05
222        0.000257115       2.21041e-05
223        0.000359405       1.82079e-05
224        0.000356872       2.48481e-05
225        0.000234994       1.75711e-06
226        0.000115639       1.16899e-05
227        0.000378062       3.0727e-05
228        0.000126843       1.59202e-05
229        0.000358656       2.28959e-05
230        0.00036683       1.8334e-05
231        0.000263836       1.22347e-05
232        0.000364713       7.94065e-06
233        0.00040117       6.31478e-06
234        0.00034092       3.3121e-05
235        0.00011301       5.63831e-06
236        0.000245562       2.20691e-05
237        0.00036159       5.58094e-06
238        0.000367001       2.5701e-05
239        0.000255495       1.60935e-05
240        0.000352446       1.18907e-05
241        0.000272035       5.98944e-05
242        0.000701636       9.83428e-05
243        0.000235496       2.52422e-05
244        0.000207938       2.141e-05
245        0.00151458       0.000211051
246        0.00143416       4.32492e-05
247        0.00111435       1.26249e-05
248        0.000374761       2.51263e-05
249        0.00113865       2.98248e-05
250        0.00105443       4.4728e-05
251        0.000401509       5.25441e-05
252        0.00103596       3.58185e-05
253        0.000319742       0.000161747
254        0.000402323       8.35578e-05
255        0.00114673       1.72399e-05
256        0.00114116       2.791e-05
257        0.000406264       3.82788e-05
258        0.000458369       0.000119364
259        0.000247257       2.44753e-05
260        0.00169322       0.000164141
261        0.000472063       4.49694e-05
262        0.00108161       8.35154e-05
263        0.000443268       6.82988e-05
264        0.000247449       7.51586e-05
265        0.00113712       3.19782e-05
266        0.000960405       8.07804e-05
267        0.00113203       1.19055e-05
268        0.00104292       3.40436e-05
269        0.00113362       2.4656e-05
270        0.00023992       3.13067e-05
271        0.000291106       1.93175e-05
272        0.000287962       8.74092e-06
273        0.000300189       2.42611e-05
274        0.00959703       0.000103853
275        0.000296399       1.26667e-05
276        0.000312177       1.65601e-05
277        0.00232597       0.000615789
278        0.00831668       0.000110776
279        0.000356075       5.32501e-05
280        0.000301111       3.10273e-05
281        0.00236128       0.000510881
282        0.000161769       1.13936e-05
283        0.000164056       2.8235e-05
284        0.00966585       5.96933e-05
285        0.00261393       0.00073952
286        0.000453545       4.26908e-05
287        0.0082588       0.000138129
288        0.00226375       0.0004359
289        0.0096389       0.000170609
290        0.00967326       0.000128414
291        0.00022345       4.85084e-05
292        0.00225997       0.000251363
293        0.00972279       9.18769e-05
294        0.000289151       9.77e-06
295        0.00823332       4.84202e-05
296        0.0035367       0.0017806
297        0.00276853       0.00118456
298        0.00034247       5.70994e-05
299        0.000205659       5.11317e-05
300        0.000290128       1.83078e-05
301        0.000235423       0.000273938
302        0.000131512       4.11938e-05
303        0.000193625       7.08604e-05
304        0.000154434       0.000165306
305        0.000107736       4.3656e-05
306        0.000162731       5.94737e-05
307        0.000252559       0.000242186
308        0.000671198       0.00044675
309        0.000470905       0.000247627
310        0.000279069       0.000411678
311        0.000269851       0.000117134
312        0.000131717       0.000123503
313        0.000330074       0.000163853
314        0.000267453       0.000185273
315        7.5812e-05       5.66872e-05
316        0.000530049       0.0002634
317        9.84416e-05       2.87358e-05
318        0.000188155       0.00022799
319        0.000328835       9.25448e-05
320        0.000237561       0.000125715
321        0.00020585       0.00016561
322        0.00061036       0.000451065
323        0.00010771       2.13438e-05
324        0.0001775       0.000105808
325        0.000243656       0.000173895
326        0.000175601       6.60584e-05
327        0.000211515       0.000149208
328        0.000229075       0.000483711
329        0.000285491       0.000133579
330        0.000127714       0.000231843
331        9.00809e-05       3.46153e-05
332        0.000148152       0.000157167
333        0.000367347       0.000169698
334        0.000321174       0.000129547
335        0.000143886       0.000130794
336        0.000161795       4.02715e-05
337        9.95314e-05       6.41534e-05
338        7.59415e-05       5.39423e-05
339        0.000104351       2.7865e-05
340        0.000267871       0.000204996
341        0.00123991       0.000790365
342        0.00357704       0.00654602
343        0.000638319       0.00088087
344        0.00134485       0.00147615
345        0.00427893       0.00203765
346        0.00245101       0.00519032
347        0.00242696       0.00192221
348        0.00716391       0.010042
349        0.0165033       0.00945889
350        0.00221681       0.00150558
351        0.000425711       0.00061007
352        0.00501959       0.00224226
353        0.0032813       0.00359281
354        0.00308666       0.00294541
355        0.000556385       0.000130707
356        0.0027943       0.00245492
357        0.0049493       0.00347235
358        0.00455284       0.00443151
359        0.00134376       0.00249967
360        0.00054115       0.000143829
361        0.00401331       0.00208282
362        0.00422521       0.00269104
363        0.00944773       0.017382
364        0.00590279       0.00347722
365        0.0182128       0.0282342
366        0.00253206       0.00172316
367        0.00291022       0.00157315
368        0.0109744       0.00598526
369        0.000382345       0.000237182
370        0.0197206       0.0389493
371        0.000596244       0.00026285
372        0.00034264       0.000332812
373        0.00181651       0.00159371
374        0.00411411       0.00339502
375        0.000403607       0.000147909
376        0.00498147       0.00293118
377        0.00342774       0.00388388
378        0.00807762       0.016827
379        0.00115021       0.00102171
380        0.00157652       0.00102306
381        0.000111658       3.79549e-06
382        0.000139245       1.27972e-05
383        0.000126339       5.86192e-06
384        0.00012847       1.11038e-05
385        0.000138878       7.7771e-06
386        0.00011238       4.59592e-06
387        0.000163598       7.31002e-06
388        0.000212541       1.3387e-05
389        0.000113512       2.91777e-06
390        0.000146966       8.67013e-06
391        0.000129799       3.93442e-06
392        8.15009e-05       1.40457e-06
393        0.000130411       5.05178e-06
394        0.000210878       1.02475e-05
395        0.000112952       3.6576e-06
396        0.000100871       1.83846e-06
397        7.74114e-05       9.94485e-06
398        0.000150521       6.16542e-06
399        0.000103871       1.44318e-05
400        0.000114498       5.64782e-06
401        0.000123718       4.68493e-06
402        6.05673e-05       1.83305e-06
403        0.000100578       1.65588e-06
404        0.000163395       6.88459e-06
405        7.37586e-05       3.10959e-06
406        8.71514e-05       1.0198e-06
407        0.000161251       3.18288e-06
408        0.000155524       3.67785e-06
409        0.000195669       1.56306e-05
410        0.000127694       2.9832e-06
411        0.000166505       7.8842e-06
412        0.000125723       4.04874e-06
413        0.000164984       4.6116e-06
414        0.000118691       5.39787e-06
415        0.000130861       2.1515e-06
416        0.000101661       1.11687e-06
417        6.68087e-05       7.03879e-07
418        7.48978e-05       2.92432e-06
419        9.09008e-05       8.3408e-06
420        8.19074e-05       2.81429e-06
421        0.000227273       5.47484e-06
422        0.000214802       1.1276e-05
423        0.000260103       1.93715e-05
424        0.000266235       7.72319e-06
425        0.000103695       3.07582e-06
426        0.000233505       1.08443e-05
427        0.00032745       1.60943e-05
428        0.000400878       2.64591e-05
429        0.000141246       5.95432e-06
430        0.000207557       4.91562e-06
431        0.000255567       1.02521e-05
432        0.00022709       1.08021e-05
433        0.000203959       6.90655e-06
434        0.000205961       8.59623e-06
435        0.000245171       1.18842e-05
436        0.000257184       1.39285e-05
437        0.00030206       6.14046e-06
438        0.000206284       5.05305e-06
439        0.000252705       1.25035e-05
440        0.00019385       6.78755e-06
441        0.000270272       5.99705e-06
442        0.000259033       1.10168e-05
443        0.000181226       1.58281e-05
444        0.000249727       1.09462e-05
445        0.000207933       4.01533e-06
446        0.000220862       9.35896e-06
447        0.000217531       9.10642e-06
448        0.00017711       1.3583e-05
449        0.000204986       1.49799e-05
450        0.00024961       8.1639e-06
451        0.000265603       1.07977e-05
452        0.000238964       6.59324e-06
453        0.000216342       8.15425e-06
454        0.000126648       1.70628e-05
455        0.000208507       7.40531e-06
456        0.00022341       8.74627e-06
457        0.000206235       1.22872e-05
458        0.000308889       1.09651e-05
459        0.000276421       1.77728e-05
460        0.000255505       1.20917e-05
461        0.000451131       2.45865e-05
462        0.000359764       2.25118e-05
463        0.000491073       3.00873e-05
464        0.000666591       1.82822e-05
465        0.000354164       2.19082e-05
466        0.000410933       1.9899e-05
467        0.000384572       2.22888e-05
468        0.000408814       2.3334e-05
469        0.000327329       1.67629e-05
470        0.00100339       7.04295e-05
471        0.000436222       9.16156e-06
472        0.000246944       9.89029e-06
473        0.000389613       3.42279e-05
474        0.000455321       5.70409e-05
475        0.000318999       1.09285e-05
476        0.000332656       2.41157e-05
477        0.000685086       4.13891e-05
478        0.000345582       4.47334e-05
479        0.000547786       3.00934e-05
480        0.000228172       1.60881e-05
481        0.000320691       1.37628e-05
482        0.000286291       1.94804e-05
483        0.000440528       1.4627e-05
484        0.000440227       8.27548e-05
485        0.000337502       3.47124e-05
486        0.000438269       1.88978e-05
487        0.000196885       8.40969e-06
488        0.000436432       1.0891e-05
489        0.000454806       3.14683e-05
490        0.000432998       2.19012e-05
491        0.000417989       1.5418e-05
492        0.000397079       2.28499e-05
493        0.000275243       3.35318e-05
494        0.000748576       2.81299e-05
495        0.000610864       0.000107854
496        0.00036726       6.07183e-05
497        0.00032203       9.4994e-06
498        0.000366341       3.92767e-05
499        0.000254427       5.54087e-05
500        0.000249432       4.714e-06
501        0.000753884       2.40451e-05
502        0.00155627       9.1104e-05
503        0.000824357       6.17066e-05
504        0.00074145       8.31039e-05
505        0.000557466       4.85814e-05
506        0.000641862       3.33314e-05
507        0.000869564       6.82155e-05
508        0.000631285       8.10137e-05
509        0.000687529       1.66439e-05
510        0.000579527       5.1157e-05
511        0.000511054       3.02031e-05
512        0.000329945       1.94568e-05
513        0.000399424       3.82142e-05
514        0.000821633       0.000103901
515        0.001002       5.83166e-05
516        0.000808853       7.598e-05
517        0.000784651       0.000176361
518        0.000656014       3.14312e-05
519        0.000418595       3.15614e-05
520        0.000615987       5.83493e-05
521        0.000439513       1.93034e-05
522        0.000846646       5.24843e-05
523        0.000741408       3.85069e-05
524        0.00104189       0.000162676
525        0.00107366       4.58954e-05
526        0.000576742       6.49261e-05
527        0.000396622       3.9852e-05
528        0.000978797       3.14364e-05
529        0.000672846       1.94665e-05
530        0.00134775       0.000188879
531        0.000656422       5.58609e-05
532        0.000474177       2.44936e-05
533        0.00100888       8.83857e-05
534        0.0010005       0.000164592
535        0.000766634       4.96433e-05
536        0.00114274       8.50045e-05
537        0.000395728       3.53262e-05
538        0.00106845       6.20389e-05
539        0.000933303       4.28971e-05
540        0.000811454       2.32554e-05
541        2.36505e-05       4.42046e-06
542        3.52972e-05       1.38417e-05
543        1.08402e-05       4.02072e-06
544        3.5835e-05       1.68891e-05
545        6.05593e-05       9.66647e-05
546        1.85548e-05       4.66681e-06
547        2.26298e-05       4.39266e-06
548        1.6909e-05       3.91716e-06
549        7.27795e-05       1.89565e-05
550        5.92648e-05       4.71171e-05
551        1.58206e-05       6.71566e-06
552        3.32e-05       2.24558e-05
553        5.39813e-05       1.44621e-05
554        9.48962e-05       1.6017e-05
555        3.95678e-05       2.85446e-05
556        3.67703e-05       2.46685e-05
557        3.60612e-05       9.34692e-06
558        0.000100568       2.44873e-05
559        3.07313e-05       1.44026e-05
560        1.49795e-05       3.49845e-06
561        1.52531e-05       1.57041e-05
562        0.00016592       6.71229e-05
563        0.000125894       3.11621e-05
564        2.68211e-05       2.48611e-05
565        9.00487e-06       2.41962e-06
566        7.74849e-06       1.22747e-06
