#str         Henry coeff (mol/kg/Pa)          error (mol/kg/Pa)   
0        0.00572815       0.00288144
1        0.00212006       0.000334357
2        0.000324694       3.12395e-05
3        0.000555463       0.000156204
4        0.000238356       7.29399e-06
5        0.00651206       0.00248136
6        0.00132424       0.000158275
7        0.00156811       7.69446e-05
8        0.000243698       2.22591e-05
9        0.000462973       5.63734e-05
10        0.0023085       0.000908732
11        0.000475865       0.000150692
12        0.0002196       4.54424e-05
13        0.000354323       3.40893e-05
14        0.000518666       8.08297e-05
15        0.00195092       0.000328078
16        0.0014058       0.000102009
17        0.00249736       0.000860165
18        0.000769206       0.000199852
19        0.000527471       1.89124e-05
20        0.000365229       7.19442e-06
21        0.166541       0.0489054
22        0.00304301       0.000170664
23        0.00382905       0.000215913
24        0.109129       0.0455576
25        0.00457718       0.00196155
26        0.000917768       0.000367152
27        0.00153619       0.000224124
28        0.00220433       0.00104094
29        0.00248016       0.000153274
30        0.00614205       0.00158097
31        0.129172       0.0524874
32        0.17829       0.0654435
33        0.0038395       0.00101006
34        0.110018       0.0429191
35        0.00262274       0.000689329
36        0.00287833       0.000112571
37        0.00152774       0.000192572
38        0.00310376       0.00115161
39        0.00153482       0.000370175
40        0.000101256       6.89373e-06
41        0.000192613       6.99089e-06
42        0.000103402       5.61125e-06
43        0.000173586       9.78695e-06
44        0.000119253       1.61483e-06
45        9.48702e-05       4.59307e-06
46        0.000177535       8.92515e-06
47        0.000148914       3.44186e-06
48        9.27517e-05       7.51573e-06
49        0.000181179       1.47571e-05
50        0.000133151       8.54229e-06
51        0.000136114       7.33129e-06
52        0.0001956       1.57632e-06
53        0.000105245       7.25723e-06
54        0.000180858       7.79309e-06
55        7.13413e-05       1.85785e-06
56        0.00010205       2.41023e-06
57        0.000144418       1.12213e-05
58        0.000147271       4.80231e-06
59        0.000119066       2.09288e-06
60        0.00018438       5.74137e-06
61        0.000251907       1.7255e-05
62        0.000177311       7.3281e-06
63        0.000185195       3.33491e-05
64        0.00015861       4.42381e-06
65        0.000234037       1.39349e-05
66        0.000215657       5.91881e-06
67        0.000184382       6.84877e-06
68        0.000174149       2.04147e-05
69        0.000148533       3.00964e-06
70        0.000139537       1.49744e-06
71        0.00021245       8.76686e-06
72        0.000171119       6.97659e-06
73        0.000446247       7.62431e-05
74        0.000119744       1.75087e-06
75        0.000247265       1.58238e-05
76        0.000234294       2.28527e-05
77        0.000307766       1.91804e-05
78        0.000155275       1.10641e-05
79        0.000152411       1.68389e-06
80        0.000859396       0.000103745
81        0.000211557       1.61199e-05
82        0.000496806       2.57774e-05
83        0.000844612       0.000182652
84        0.000978256       0.00020861
85        0.000227186       7.61044e-06
86        0.000227882       1.13504e-05
87        0.000877817       0.000236118
88        0.000206064       9.7012e-06
89        0.000181556       1.81715e-05
90        0.000334714       9.00262e-05
91        0.0003466       3.88761e-05
92        0.000689694       2.80796e-05
93        0.00018314       2.22725e-05
