#str         Henry coeff (mol/kg/Pa)          error (mol/kg/Pa)   
224        0.00229628       0.000284699
225        0.00765755       0.000778433
226        0.0026708       0.000485817
227        0.00836061       0.000828163
228        0.00379872       0.000427359
229        0.00696226       0.000508339
230        0.0178409       0.00198198
231        0.0177292       0.00299817
232        0.0944964       0.026445
233        0.00970667       0.00295647
234        0.00448262       0.00097443
235        0.0114602       0.00182664
236        0.0278804       0.00247129
237        0.00452862       0.00197448
238        0.0371942       0.0045009
239        0.0390123       0.00340362
240        0.00610095       0.000735869
241        0.00757261       0.00251546
242        0.00730609       0.00060328
243        0.00556238       0.000432066
244        0.0222674       0.0044605
245        0.00668975       0.000560923
246        0.00474203       0.000307662
247        0.0029612       0.000945182
248        0.0113215       0.00103528
249        0.0117567       0.00515548
250        0.00934479       0.000622527
251        0.00696403       0.00205632
252        0.00553475       0.00106268
253        0.00881002       0.00180916
254        0.00266382       0.000307788
255        0.048389       0.0144376
256        0.0818787       0.023441
257        0.00897756       0.00204285
258        0.00840495       0.00260063
259        0.0162178       0.00321955
260        0.0693249       0.00837982
261        0.0196871       0.00234248
262        0.015491       0.00251333
263        0.0472241       0.00909165
264        0.00446949       0.000542787
265        0.250523       0.0581729
266        0.00108824       0.000522305
267        0.00195434       0.0013119
268        0.000323393       2.74713e-05
269        0.000649309       3.31806e-05
270        0.00154744       0.000526983
271        0.282553       0.0734019
272        0.000819593       2.67443e-05
273        0.00667134       0.000345658
274        0.00560124       0.00366207
275        0.00163214       0.000161937
276        0.00414362       0.000280311
277        0.00272649       0.00168902
278        0.00653162       0.0038903
279        0.0016329       0.000180641
280        0.00362707       0.000235506
281        0.00178539       0.000255613
282        0.00149925       0.000142776
283        0.00264189       0.0034119
284        0.00144254       0.000561065
285        0.284778       0.0571211
286        0.00742246       0.000440244
287        0.00509743       0.000395203
288        0.0232412       0.0230275
289        0.0104348       0.000497258
290        0.00599615       0.00726687
291        0.00380387       0.000930466
292        0.00486053       0.00138233
293        0.00270738       0.00159636
294        0.000829353       2.68141e-05
295        0.00612313       0.000230439
296        0.000649111       8.66967e-05
297        0.00575809       0.000601805
298        0.00105008       0.000227785
299        0.000394965       6.85941e-05
300        0.249447       0.0713411
301        0.281985       0.104273
302        0.012591       0.00581787
303        0.00665947       0.00618237
304        0.196872       0.0448625
305        0.197166       0.0949049
306        0.00125165       0.00024729
307        0.00121351       0.000586171
308        0.0020882       0.0017125
309        0.0104805       0.000379631
310        0.00387623       0.000551724
311        0.00156863       0.000644657
312        0.0120891       0.00336869
313        0.00163645       0.000164157
314        0.00179457       0.000725859
315        0.000603747       4.02821e-05
316        0.268562       0.0590376
317        0.214141       0.0256906
318        0.00662384       0.00195267
319        0.000414309       0.000124186
320        0.000394015       0.000134157
321        0.233655       0.0657714
322        0.00670896       0.000141676
323        0.000807499       2.5189e-05
324        0.0013787       0.000237836
325        0.000626149       4.47949e-05
326        0.00182369       0.000455478
327        0.00169917       0.000344111
328        0.00448365       5.90835e-05
329        0.00642214       0.000289997
330        0.00133562       0.000463401
331        0.229406       0.0497745
332        0.00161117       0.000211855
333        0.000614038       5.75584e-05
334        0.00209193       0.00146027
335        0.00863499       0.00182469
336        0.221764       0.0808973
337        0.00906653       0.00115791
338        0.00234638       0.000768383
339        0.0102389       0.0011287
340        0.0014713       0.000706371
341        0.0014552       0.000163155
342        0.000830752       3.82585e-05
343        0.0128916       0.00273431
344        0.00164694       0.00116921
345        0.0153586       0.00599503
346        0.00155736       0.000434489
347        0.00446074       0.00103247
348        0.0122055       0.00441261
349        0.00442463       0.00271287
350        0.00473356       0.00143832
351        0.00913031       0.00792737
352        0.00167203       0.000349617
353        0.522074       0.266814
354        0.00564549       0.00204921
355        0.00559287       0.00119935
356        0.293141       0.12082
357        0.00351646       0.0015469
358        0.0130176       0.00100163
359        0.00339866       0.00160804
360        0.00438355       0.00133511
361        0.028772       0.053765
362        0.0219551       0.0100414
363        0.000699031       9.55993e-05
364        0.000673554       7.9225e-05
365        0.252922       0.0417728
366        0.409974       0.28246
367        0.000927195       4.28862e-05
368        0.00176868       0.000400835
369        0.000949379       5.21642e-05
370        0.00214703       0.00214162
371        0.00329144       0.00302457
372        0.312359       0.075686
373        0.0150598       0.00668727
374        0.00354531       0.00314217
375        0.00536172       0.00269575
376        0.00181255       0.000537741
377        0.0027882       0.00140604
378        0.00404829       0.00378548
379        0.683069       0.226305
380        0.000430699       0.000120367
381        0.00433845       0.00163423
382        0.000938321       0.000112426
383        0.36359       0.252852
384        0.00185651       0.00058886
385        0.000634759       3.91014e-05
386        0.000716876       6.93245e-05
387        0.0105294       0.00137059
388        0.00532471       0.00474434
389        0.00724096       0.00422782
390        0.588511       0.361284
391        0.000942176       0.000225842
392        0.00421199       0.00247183
393        0.00883019       0.0115257
394        0.0125317       0.00120276
395        0.00420754       0.00118316
396        0.000923832       4.58747e-05
397        0.000889089       9.53748e-05
398        0.851013       0.245438
399        0.720614       0.196028
400        0.000888708       3.78667e-05
401        0.00142607       0.0004001
402        0.00598753       0.00347394
403        0.000707633       0.000530606
404        0.00152242       0.000148105
405        0.00382342       0.00170846
406        0.751626       0.09553
407        0.000449347       0.000149714
408        0.00469418       0.00302018
409        0.761105       0.732786
410        0.00364955       0.00253989
411        0.74126       0.21521
412        0.00346617       0.000345832
413        0.299062       0.0503911
414        0.000667377       8.57085e-05
415        0.00720963       0.0103819
416        0.000828131       5.14133e-05
417        0.00591822       0.00225664
