2.000000000000000000e+00,2.284989929199218750e+01,2.268099784851074219e+01
3.000000000000000000e+00,2.451637840270996094e+01,2.444997215270996094e+01
4.000000000000000000e+00,2.572271537780761719e+01,2.548962593078613281e+01
5.000000000000000000e+00,2.722575187683105469e+01,2.700207519531250000e+01
6.000000000000000000e+00,2.926645088195800781e+01,2.867220306396484375e+01
7.000000000000000000e+00,2.946965408325195312e+01,2.918124580383300781e+01
8.000000000000000000e+00,3.111458206176757812e+01,3.105399703979492188e+01
9.000000000000000000e+00,3.093573188781738281e+01,3.139660644531250000e+01
1.000000000000000000e+01,3.174263381958007812e+01,3.221570205688476562e+01
1.100000000000000000e+01,3.243952941894531250e+01,3.281098556518554688e+01
1.200000000000000000e+01,3.262433624267578125e+01,3.371626663208007812e+01
