#str         Henry coeff (mol/kg/Pa)          error (mol/kg/Pa)   
186        6.64376e-05       6.13954e-07
187        8.6717e-05       1.1005e-06
188        7.27511e-05       3.1743e-06
189        7.42699e-05       2.28433e-06
190        8.36463e-05       1.62446e-06
191        7.51241e-05       3.34764e-06
192        7.70389e-05       1.89886e-06
193        6.96787e-05       2.59053e-06
194        7.37112e-05       3.64574e-06
195        7.77068e-05       1.54105e-06
196        7.94686e-05       2.36608e-06
197        5.51766e-05       3.19165e-06
198        8.32294e-05       2.94423e-06
199        6.83192e-05       6.06515e-07
200        7.89423e-05       1.61336e-06
201        7.76306e-05       3.31129e-06
202        7.74804e-05       1.36078e-06
203        7.87539e-05       2.14272e-06
204        6.8656e-05       2.73703e-06
205        6.57918e-05       2.03204e-06
206        7.31199e-05       2.87901e-06
207        7.02799e-05       2.92451e-06
208        9.39777e-05       2.55652e-06
209        8.45836e-05       2.39803e-06
210        0.000133187       8.20714e-06
211        7.6892e-05       1.95834e-06
212        0.000100117       4.34761e-06
213        8.98032e-05       4.78872e-06
214        9.63676e-05       9.67463e-07
215        7.07402e-05       4.60402e-06
216        9.94248e-05       3.03975e-06
217        8.00428e-05       1.28649e-06
218        0.000108792       5.67313e-06
219        6.74964e-05       1.34894e-06
220        0.00010445       5.61447e-07
221        0.000115211       2.91196e-06
222        0.000107037       2.86714e-06
223        0.000105177       4.80305e-06
224        8.95863e-05       4.35852e-06
225        9.07685e-05       2.86139e-06
226        9.43266e-05       3.8698e-06
227        8.85394e-05       6.38097e-06
228        8.62993e-05       1.97527e-06
229        0.00010045       8.39539e-06
230        9.14655e-05       2.53684e-06
231        7.94242e-05       1.95233e-06
232        0.000109801       2.59714e-06
233        0.000110053       3.13167e-06
234        7.86715e-05       1.80403e-06
235        9.55964e-05       3.52909e-06
236        0.000107891       2.92437e-06
237        7.40755e-05       2.84986e-06
238        7.88979e-05       3.81715e-06
239        0.000102673       1.28243e-05
240        9.96497e-05       1.79264e-06
241        0.00013684       3.12101e-06
