#str         Henry coeff (mol/kg/Pa)          error (mol/kg/Pa)   
0        1.00466e-05       2.3521e-08
1        3.21454e-05       4.61964e-06
2        4.96165e-05       1.10941e-06
3        1.04904e-05       9.13121e-08
4        3.15464e-05       2.43072e-07
5        3.42081e-05       4.11303e-06
6        5.06956e-05       1.73281e-06
7        1.05248e-05       3.88033e-08
8        3.14451e-05       4.8973e-07
9        3.26764e-05       4.05804e-06
10        5.04857e-05       6.46987e-07
11        1.0552e-05       1.77535e-07
12        3.17398e-05       6.63517e-07
13        3.40312e-05       5.01089e-06
14        5.07053e-05       1.75666e-06
15        1.06252e-05       6.53762e-08
16        3.22109e-05       6.09661e-07
17        3.32089e-05       2.88273e-06
18        5.17351e-05       1.83448e-06
19        3.51258e-05       2.49619e-06
20        5.02431e-05       1.48887e-06
21        3.42943e-05       2.65302e-06
22        5.12578e-05       1.3947e-06
23        3.20023e-05       2.41635e-06
24        5.06016e-05       7.38715e-07
25        3.47866e-05       2.71544e-06
26        4.93501e-05       1.26708e-06
27        1.04946e-05       5.20399e-08
28        3.19153e-05       8.4608e-07
29        3.51761e-05       2.54302e-06
30        5.13496e-05       2.19776e-06
31        1.06097e-05       1.78954e-07
32        3.20263e-05       7.21896e-07
33        3.51036e-05       3.08483e-06
34        5.05218e-05       2.19868e-06
35        1.05534e-05       4.19479e-08
36        3.22869e-05       4.19963e-07
37        3.36934e-05       4.28445e-06
38        4.9956e-05       2.28769e-06
39        1.05754e-05       7.67569e-08
40        3.20617e-05       6.86343e-07
41        3.51523e-05       2.6598e-06
42        5.01152e-05       1.95275e-06
43        3.22564e-05       2.95101e-06
44        5.02637e-05       8.238e-07
45        3.36021e-05       6.26654e-07
46        4.99016e-05       8.84535e-07
47        3.46857e-05       4.13878e-06
48        5.06766e-05       8.99046e-07
49        9.87153e-05       1.00462e-06
50        1.65027e-05       1.29785e-06
51        4.30487e-05       2.29442e-06
52        8.48728e-05       1.30548e-05
53        5.01802e-05       1.24193e-06
54        8.32604e-05       3.22812e-06
