#str         Henry coeff (mol/kg/Pa)          error (mol/kg/Pa)   
199        0.000578806       1.0298e-05
200        0.000578788       2.15618e-05
201        0.000868255       4.32362e-05
202        0.00108055       3.93132e-05
203        0.00121073       6.6712e-05
204        0.00125484       4.85484e-05
205        0.00101904       0.000169077
206        0.000589209       3.46866e-05
207        0.000891769       3.04662e-05
208        0.000980904       3.56013e-05
209        0.000989368       7.9821e-05
210        0.00103959       3.42633e-05
211        0.00118405       0.000145469
212        0.000722145       3.85519e-05
213        0.000985714       1.32992e-05
214        0.000968612       2.4568e-05
215        0.000985421       1.2388e-05
216        0.000921496       5.2815e-05
217        0.00059737       2.39678e-05
218        0.00115783       6.78709e-05
219        0.000941589       3.51064e-05
220        0.000711132       1.48304e-05
221        0.00036899       2.43993e-05
222        0.00105271       0.000122028
223        0.000522113       1.93666e-05
224        0.00070007       3.33076e-05
225        0.0010704       1.74945e-05
226        0.00102683       0.000132151
227        0.00106701       0.000125671
228        0.00073096       3.54026e-05
229        0.000872035       4.48987e-05
230        0.000743233       4.01748e-05
231        0.000991482       1.32796e-05
232        0.000974057       1.14479e-05
233        0.000584592       1.86201e-05
234        0.000681205       2.23917e-05
235        0.00100116       2.96579e-05
236        0.00107727       6.25641e-05
237        0.000956841       0.000200281
238        0.000392135       2.83818e-05
239        0.000969836       1.04057e-05
240        0.000575677       2.9037e-05
241        0.000944284       6.52577e-05
242        0.000838748       3.07427e-05
243        0.00098441       4.34528e-05
244        0.00036758       2.93616e-05
245        0.00126107       8.58456e-05
246        0.000575282       3.0498e-05
247        0.000514317       1.04324e-05
248        0.00036853       2.46766e-05
249        0.000972148       1.72864e-05
250        0.000519034       2.91487e-05
251        0.000855948       3.16769e-05
252        0.000316201       3.84124e-06
253        0.000268041       2.89008e-06
254        0.000187562       4.53826e-06
255        0.000858338       4.28694e-05
256        0.000278873       1.05751e-05
257        0.000287192       1.13379e-05
258        0.00091035       0.000111368
259        0.000897623       3.39245e-05
260        0.000305861       1.75404e-05
261        0.000882642       9.59682e-05
262        0.00063694       2.05025e-05
263        0.000402453       9.6995e-06
264        0.000293036       1.37417e-05
265        0.000275785       3.97788e-06
266        0.000186221       9.09975e-06
267        0.000613644       2.23443e-05
268        0.000266138       8.54781e-06
269        0.000651016       3.19578e-05
270        0.000292534       1.55353e-05
271        0.000398957       1.33264e-05
272        0.000634433       2.88394e-05
273        0.00019187       9.43321e-06
274        0.000394368       1.59823e-05
275        0.000190176       5.90935e-07
276        0.00027623       1.01524e-05
277        0.000573183       6.60618e-05
278        0.00018888       4.39181e-06
279        0.000271049       1.03838e-05
280        0.000859836       4.90915e-05
281        0.000276694       9.26828e-06
282        0.000312762       4.1147e-06
283        0.000185965       2.70993e-06
284        0.000289903       3.12315e-05
285        0.000283618       1.12047e-05
286        0.000296656       1.47503e-05
287        0.000296252       2.36915e-05
288        0.000664851       7.21436e-05
289        0.000666292       6.56888e-05
290        0.000278408       1.4959e-05
291        0.00039679       5.11166e-06
292        0.000300918       3.86876e-05
293        0.000631675       3.12239e-05
294        0.000277363       7.51814e-06
295        0.000303659       1.89629e-05
296        0.000189233       6.14502e-06
297        0.000405921       1.53968e-05
298        0.000625759       4.3954e-05
299        0.000288623       3.47637e-05
300        0.0016812       8.13277e-05
301        0.00143419       7.21106e-05
302        0.00194261       3.80143e-05
303        0.00111375       7.30743e-05
304        0.0012657       5.12596e-05
305        0.00113081       9.37267e-05
306        0.00127982       3.91582e-05
307        0.00158895       4.78503e-05
