Sample   Start  End 
127   September 04 06:40 AM  September 04 08:59 AM 
128   September 04 06:39 AM  September 04 08:58 AM 
129   September 04 06:37 AM  September 04 08:57 AM 
130   September 04 06:36 AM  September 04 08:55 AM 
131   September 04 06:36 AM  September 04 08:53 AM 
132   September 04 06:34 AM  September 04 08:52 AM 
133   September 04 06:34 AM  September 04 08:52 AM 
134   September 04 06:33 AM  September 04 08:50 AM 
135   September 04 06:32 AM  September 04 08:52 AM 
136   September 04 06:32 AM  September 04 08:53 AM 
137   September 04 06:31 AM  September 04 08:47 AM 
138   September 04 06:31 AM  September 04 08:48 AM 
139   September 04 06:30 AM  September 04 08:48 AM 
140   September 04 06:29 AM  September 04 08:48 AM 
141   September 04 06:29 AM  September 04 08:46 AM 
142   September 04 06:29 AM  September 04 08:47 AM 
143   September 04 06:29 AM  September 04 08:46 AM 
144   September 04 06:29 AM  September 04 08:52 AM 
145   September 04 06:27 AM  September 04 08:45 AM 
146   September 04 06:25 AM  September 04 08:45 AM 
147   September 04 06:25 AM  September 04 08:44 AM 
148   September 04 06:25 AM  September 04 08:42 AM 
149   September 04 06:24 AM  September 04 08:43 AM 
150   September 04 06:23 AM  September 04 09:10 AM 
151   September 04 06:23 AM  September 04 09:11 AM 
152   September 04 06:22 AM  September 04 09:09 AM 
153   September 04 06:22 AM  September 04 09:21 AM 
154   September 04 06:21 AM  September 04 09:08 AM 
155   September 04 06:19 AM  September 04 09:07 AM 
156   September 04 06:19 AM  September 04 09:06 AM 
157   September 04 06:18 AM  September 04 09:05 AM 
158   September 04 06:18 AM  September 04 09:02 AM 
159   September 04 06:18 AM  September 04 09:04 AM 
160   September 04 06:16 AM  September 04 09:02 AM 
161   September 04 06:15 AM  September 04 09:00 AM 
162   September 04 06:15 AM  September 04 09:00 AM 
163   September 04 06:15 AM  September 04 09:04 AM 
164   September 04 06:14 AM  September 04 09:01 AM 
165   September 04 06:14 AM  September 04 09:00 AM 
166   September 04 06:13 AM  September 04 09:00 AM 
167   September 04 06:13 AM  September 04 08:58 AM 
168   September 04 06:08 AM  September 04 08:56 AM 
169   September 04 05:36 AM  September 04 08:20 AM 
170   September 04 04:47 AM  September 04 07:33 AM 
171   September 04 04:31 AM  September 04 07:16 AM 
172   September 04 04:08 AM  September 04 06:56 AM 
173   September 04 04:07 AM  September 04 06:55 AM 
174   September 04 03:45 AM  September 04 06:33 AM 
175   September 04 03:38 AM  September 04 06:24 AM 
176   September 04 03:29 AM  September 04 06:16 AM 
177   September 04 03:26 AM  September 04 06:13 AM 
178   September 04 03:23 AM  September 04 06:34 AM 
179   September 04 03:22 AM  September 04 06:08 AM 
180   September 04 03:19 AM  September 04 06:28 AM 
181   September 04 03:18 AM  September 04 06:34 AM 
182   September 04 03:17 AM  September 04 06:28 AM 
183   September 04 03:14 AM  September 04 06:31 AM 
184   September 04 03:13 AM  September 04 06:28 AM 
185   September 04 03:13 AM  September 04 06:29 AM 
186   September 04 03:13 AM  September 04 06:28 AM 
187   September 04 03:13 AM  September 04 06:30 AM 
188   September 04 03:11 AM  September 04 06:29 AM 
189   September 04 03:10 AM  September 04 06:25 AM 
190   September 04 03:08 AM  September 04 06:18 AM 
191   September 04 03:08 AM  September 04 06:22 AM 
192   September 04 03:08 AM  September 04 06:23 AM 
193   September 04 03:07 AM  September 04 06:27 AM 
194   September 04 03:07 AM  September 04 06:24 AM 
195   September 04 03:06 AM  September 04 06:22 AM 
196   September 04 03:06 AM  September 04 06:20 AM 
197   September 04 03:05 AM  September 04 06:22 AM 
198   September 04 03:04 AM  September 04 06:22 AM 
199   September 04 03:04 AM  September 04 06:17 AM 
200   September 04 03:01 AM  September 04 06:19 AM 
201   September 04 03:01 AM  September 04 06:15 AM 
202   September 04 03:00 AM  September 04 06:17 AM 
203   September 04 03:00 AM  September 04 06:18 AM 
204   September 04 03:00 AM  September 04 06:18 AM 
205   September 04 02:59 AM  September 04 06:15 AM 
206   September 04 02:59 AM  September 04 06:13 AM 
207   September 04 02:58 AM  September 04 06:15 AM 
208   September 04 02:57 AM  September 04 06:14 AM 
