Sample   Start  End 
127   June 17 04:55 PM  June 18 04:49 AM 
128   June 17 04:55 PM  June 18 05:03 AM 
129   June 17 04:55 PM  June 18 04:58 AM 
130   June 17 04:52 PM  June 18 04:47 AM 
131   June 17 04:51 PM  June 18 04:46 AM 
132   June 17 04:47 PM  June 18 04:56 AM 
133   June 17 04:47 PM  June 18 04:42 AM 
134   June 17 04:43 PM  June 18 04:54 AM 
135   June 17 04:43 PM  June 18 04:42 AM 
136   June 17 04:42 PM  June 18 04:53 AM 
137   June 17 04:33 PM  June 18 04:43 AM 
138   June 17 04:33 PM  June 18 04:47 AM 
139   June 17 04:28 PM  June 18 04:35 AM 
140   June 17 04:20 PM  June 18 04:40 AM 
141   June 17 04:18 PM  June 18 04:37 AM 
142   June 17 04:11 PM  June 18 04:16 AM 
143   June 17 04:11 PM  June 18 04:28 AM 
144   June 17 04:10 PM  June 18 04:18 AM 
145   June 17 04:09 PM  June 18 04:28 AM 
146   June 17 04:08 PM  June 18 04:26 AM 
147   June 17 04:07 PM  June 18 04:25 AM 
148   June 17 04:05 PM  June 18 04:28 AM 
149   June 17 04:04 PM  June 18 04:22 AM 
150   June 17 03:59 PM  June 18 04:21 AM 
151   June 17 03:59 PM  June 17 06:10 PM 
152   June 17 03:59 PM  June 17 06:10 PM 
153   June 17 03:59 PM  June 17 06:09 PM 
154   June 17 03:55 PM  June 17 06:06 PM 
155   June 17 03:53 PM  June 17 06:04 PM 
156   June 17 03:52 PM  June 17 06:00 PM 
157   June 17 03:50 PM  June 17 05:59 PM 
158   June 17 03:17 PM  June 17 05:30 PM 
159   June 17 03:15 PM  June 17 05:26 PM 
160   June 17 03:08 PM  June 17 05:18 PM 
161   June 17 03:08 PM  June 17 05:17 PM 
162   June 17 03:02 PM  June 17 05:10 PM 
163   June 17 02:59 PM  June 17 05:08 PM 
164   June 17 02:57 PM  June 17 05:08 PM 
165   June 17 02:53 PM  June 17 05:02 PM 
166   June 17 02:49 PM  June 17 04:59 PM 
167   June 17 02:47 PM  June 17 04:57 PM 
168   June 17 02:45 PM  June 17 04:56 PM 
169   June 17 02:45 PM  June 17 04:51 PM 
170   June 17 02:44 PM  June 17 04:55 PM 
171   June 17 02:44 PM  June 17 04:56 PM 
172   June 17 02:43 PM  June 17 04:53 PM 
173   June 17 02:43 PM  June 17 04:51 PM 
174   June 17 02:38 PM  June 17 04:47 PM 
175   June 17 02:36 PM  June 17 04:47 PM 
176   June 17 02:33 PM  June 17 04:42 PM 
177   June 17 02:22 PM  June 17 04:33 PM 
178   June 17 02:20 PM  June 17 04:33 PM 
179   June 17 02:16 PM  June 17 04:27 PM 
180   June 17 02:08 PM  June 17 04:18 PM 
181   June 17 02:07 PM  June 17 05:25 PM 
182   June 17 02:07 PM  June 17 05:24 PM 
183   June 17 02:06 PM  June 17 05:20 PM 
184   June 17 01:55 PM  June 17 05:11 PM 
185   June 17 01:53 PM  June 17 05:10 PM 
186   June 17 01:50 PM  June 17 05:07 PM 
187   June 17 01:40 PM  June 17 04:55 PM 
188   June 17 01:39 PM  June 17 04:56 PM 
189   June 17 01:38 PM  June 17 04:55 PM 
190   June 17 01:27 PM  June 17 04:43 PM 
191   June 17 01:22 PM  June 17 04:41 PM 
192   June 17 01:13 PM  June 17 04:28 PM 
193   June 17 01:03 PM  June 17 04:20 PM 
194   June 17 12:54 PM  June 17 04:09 PM 
195   June 17 12:53 PM  June 17 04:10 PM 
196   June 17 12:50 PM  June 17 04:10 PM 
197   June 17 12:49 PM  June 17 04:07 PM 
198   June 17 12:49 PM  June 17 04:08 PM 
199   June 17 12:48 PM  June 17 04:04 PM 
200   June 17 12:45 PM  June 17 04:04 PM 
201   June 17 12:43 PM  June 17 03:59 PM 
202   June 17 12:42 PM  June 17 03:59 PM 
203   June 17 12:41 PM  June 17 04:00 PM 
204   June 17 12:40 PM  June 17 03:58 PM 
205   June 17 12:40 PM  June 17 03:59 PM 
206   June 17 12:38 PM  June 17 03:54 PM 
207   June 17 12:37 PM  June 17 03:53 PM 
208   June 17 12:36 PM  June 17 03:52 PM 
209   June 17 12:35 PM  June 17 03:49 PM 
210   June 17 11:26 AM  June 17 02:44 PM 
211   June 17 10:52 AM  June 17 03:16 PM 
212   June 17 10:50 AM  June 17 03:14 PM 
213   June 17 10:49 AM  June 17 03:08 PM 
214   June 17 10:49 AM  June 17 03:13 PM 
215   June 17 10:42 AM  June 17 03:07 PM 
216   June 17 10:41 AM  June 17 03:02 PM 
217   June 17 10:35 AM  June 17 02:59 PM 
218   June 17 10:33 AM  June 17 02:57 PM 
219   June 17 09:44 AM  June 17 02:06 PM 
220   June 17 09:17 AM  June 17 01:39 PM 
221   June 17 09:16 AM  June 17 01:37 PM 
222   June 17 08:57 AM  June 17 01:21 PM 
223   June 17 08:48 AM  June 17 01:13 PM 
224   June 17 08:40 AM  June 17 01:03 PM 
225   June 17 08:31 AM  June 17 12:53 PM 
226   June 17 08:31 AM  June 17 12:50 PM 
227   June 17 08:24 AM  June 17 12:48 PM 
228   June 17 08:24 AM  June 17 12:48 PM 
229   June 17 08:23 AM  June 17 12:46 PM 
230   June 17 08:22 AM  June 17 12:48 PM 
231   June 17 08:22 AM  June 17 12:43 PM 
232   June 17 08:21 AM  June 17 12:45 PM 
233   June 17 08:21 AM  June 17 12:44 PM 
234   June 17 08:18 AM  June 17 12:42 PM 
235   June 17 08:17 AM  June 17 12:41 PM 
236   June 17 08:16 AM  June 17 12:38 PM 
237   June 17 08:15 AM  June 17 12:39 PM 
238   June 17 08:15 AM  June 17 12:36 PM 
239   June 17 08:15 AM  June 17 12:35 PM 
240   June 17 08:13 AM  June 17 12:40 PM 
241   June 17 08:12 AM  June 17 02:47 PM 
242   June 17 08:12 AM  June 17 02:45 PM 
243   June 17 08:11 AM  June 17 02:48 PM 
244   June 17 08:09 AM  June 17 02:38 PM 
245   June 17 08:08 AM  June 17 02:44 PM 
246   June 17 08:08 AM  June 17 02:36 PM 
247   June 17 08:07 AM  June 17 02:44 PM 
248   June 17 08:07 AM  June 17 02:43 PM 
249   June 17 08:07 AM  June 17 02:45 PM 
250   June 17 07:49 AM  June 17 02:22 PM 
251   June 17 07:42 AM  June 17 02:20 PM 
252   June 17 07:38 AM  June 17 02:16 PM 
253   June 17 07:37 AM  June 17 02:07 PM 
254   June 17 07:34 AM  June 17 02:06 PM 
255   June 17 07:33 AM  June 17 02:08 PM 
256   June 17 07:32 AM  June 17 02:10 PM 
257   June 17 07:21 AM  June 17 01:53 PM 
258   June 17 07:19 AM  June 17 01:55 PM 
259   June 17 07:18 AM  June 17 01:50 PM 
260   June 17 07:04 AM  June 17 01:40 PM 
261   June 17 06:52 AM  June 17 01:26 PM 
262   June 17 06:11 AM  June 17 12:54 PM 
263   June 17 06:03 AM  June 17 12:37 PM 
264   June 17 05:20 AM  June 17 11:53 AM 
265   June 17 04:51 AM  June 17 11:26 AM 
266   June 17 04:14 AM  June 17 10:49 AM 
267   June 17 04:12 AM  June 17 10:51 AM 
268   June 17 04:00 AM  June 17 10:35 AM 
269   June 17 03:58 AM  June 17 10:33 AM 
270   June 17 02:46 AM  June 17 09:16 AM 
271   June 17 02:14 AM  June 17 10:49 AM 
272   June 17 02:11 AM  June 17 10:48 AM 
273   June 17 02:02 AM  June 17 10:41 AM 
274   June 17 01:47 AM  June 17 10:42 AM 
275   June 17 01:12 AM  June 17 09:44 AM 
276   June 17 12:39 AM  June 17 09:16 AM 
277   June 16 11:33 PM  June 17 08:22 AM 
278   June 16 11:33 PM  June 17 08:31 AM 
279   June 16 11:33 PM  June 17 08:14 AM 
280   June 16 11:31 PM  June 17 08:09 AM 
281   June 16 11:30 PM  June 17 08:21 AM 
282   June 16 11:30 PM  June 17 08:12 AM 
283   June 16 11:29 PM  June 17 08:12 AM 
284   June 16 11:29 PM  June 17 08:22 AM 
285   June 16 11:29 PM  June 17 08:16 AM 
286   June 16 11:25 PM  June 17 08:06 AM 
287   June 16 11:21 PM  June 17 08:17 AM 
288   June 16 11:00 PM  June 17 07:42 AM 
289   June 16 10:55 PM  June 17 07:49 AM 
290   June 16 10:46 PM  June 17 07:37 AM 
291   June 16 10:46 PM  June 17 07:31 AM 
292   June 16 10:44 PM  June 17 07:33 AM 
293   June 16 10:40 PM  June 17 07:33 AM 
294   June 16 10:40 PM  June 17 07:19 AM 
295   June 16 10:39 PM  June 17 07:38 AM 
296   June 16 10:32 PM  June 17 07:21 AM 
297   June 16 10:30 PM  June 17 07:18 AM 
298   June 16 10:25 PM  June 17 07:04 AM 
299   June 16 10:24 PM  June 17 07:08 AM 
300   June 16 10:15 PM  June 17 06:52 AM 
301   June 16 10:13 PM  June 17 08:56 AM 
302   June 16 10:13 PM  June 17 08:48 AM 
303   June 16 09:56 PM  June 17 08:40 AM 
304   June 16 09:51 PM  June 17 08:30 AM 
305   June 16 09:47 PM  June 17 08:21 AM 
306   June 16 09:44 PM  June 17 08:24 AM 
307   June 16 09:43 PM  June 17 08:22 AM 
308   June 16 09:41 PM  June 17 08:18 AM 
309   June 16 09:41 PM  June 17 08:24 AM 
310   June 16 09:37 PM  June 17 08:22 AM 
311   June 16 09:37 PM  June 17 08:14 AM 
312   June 16 09:36 PM  June 17 08:07 AM 
313   June 16 09:36 PM  June 17 08:08 AM 
314   June 16 09:35 PM  June 17 08:11 AM 
315   June 16 09:35 PM  June 17 08:15 AM 
316   June 16 09:33 PM  June 17 08:06 AM 
317   June 16 09:33 PM  June 17 08:07 AM 
318   June 16 09:32 PM  June 17 08:10 AM 
319   June 16 09:31 PM  June 17 08:00 AM 
320   June 16 09:25 PM  June 17 08:13 AM 
321   June 16 07:30 PM  June 17 06:11 AM 
322   June 16 05:30 PM  June 17 04:14 AM 
323   June 16 05:14 PM  June 17 03:58 AM 
324   June 16 04:20 PM  June 17 03:03 AM 
