Sample   Start  End 
0   May 30 04:11 PM  May 30 08:32 PM 
1   May 30 04:11 PM  May 30 08:31 PM 
2   May 26 08:14 AM  May 26 02:41 PM 
3   May 25 11:58 AM  May 25 06:28 PM 
4   May 25 06:16 AM  May 25 12:46 PM 
5   May 24 09:14 PM  May 25 03:45 AM 
6   May 24 12:05 PM  May 24 06:40 PM 
7   May 23 09:36 PM  May 24 04:08 AM 
8   May 23 02:01 AM  May 23 08:36 AM 
9   May 22 06:10 PM  May 23 12:51 AM 
10   May 30 04:08 PM  May 30 08:34 PM 
11   May 30 01:43 AM  May 30 08:11 AM 
12   May 29 06:43 AM  May 29 01:09 PM 
13   May 29 12:22 AM  May 29 06:50 AM 
14   May 28 12:54 PM  May 28 07:24 PM 
15   May 27 10:14 PM  May 28 04:45 AM 
16   May 27 03:07 AM  May 27 09:35 AM 
17   May 26 10:45 PM  May 27 05:08 AM 
18   May 26 02:40 PM  May 26 09:12 PM 
19   May 26 08:39 AM  May 26 03:11 PM 
20   May 26 08:13 AM  May 26 02:42 PM 
21   May 26 04:39 AM  May 26 11:14 AM 
22   May 26 12:37 AM  May 26 07:07 AM 
23   May 26 12:25 AM  May 26 06:55 AM 
24   May 25 10:31 PM  May 26 05:03 AM 
25   May 25 10:15 PM  May 26 04:47 AM 
26   May 25 10:03 PM  May 26 04:31 AM 
27   May 25 03:46 PM  May 25 10:14 PM 
28   May 25 02:10 PM  May 25 08:41 PM 
29   May 25 01:50 PM  May 25 08:22 PM 
30   May 25 11:56 AM  May 25 06:25 PM 
31   May 25 11:47 AM  May 25 06:20 PM 
32   May 25 11:39 AM  May 25 06:09 PM 
33   May 25 11:32 AM  May 25 06:06 PM 
34   May 25 10:35 AM  May 25 05:08 PM 
35   May 25 09:19 AM  May 25 03:51 PM 
36   May 25 09:11 AM  May 25 03:46 PM 
37   May 25 09:03 AM  May 25 03:32 PM 
38   May 25 08:53 AM  May 25 03:21 PM 
39   May 25 07:45 AM  May 25 02:13 PM 
40   May 25 05:32 AM  May 25 12:01 PM 
41   May 25 05:21 AM  May 25 11:50 AM 
42   May 25 05:16 AM  May 25 11:43 AM 
43   May 25 05:07 AM  May 25 11:35 AM 
44   May 25 04:44 AM  May 25 11:17 AM 
45   May 25 01:37 AM  May 25 08:01 AM 
46   May 25 01:27 AM  May 25 07:57 AM 
47   May 25 01:17 AM  May 25 07:43 AM 
48   May 25 12:30 AM  May 25 06:55 AM 
49   May 25 12:00 AM  May 25 06:28 AM 
50   May 24 08:35 PM  May 25 03:08 AM 
51   May 24 08:16 PM  May 25 02:47 AM 
52   May 24 08:08 PM  May 25 02:30 AM 
53   May 24 07:55 PM  May 25 02:23 AM 
54   May 24 06:58 PM  May 25 01:25 AM 
55   May 24 05:33 PM  May 25 12:00 AM 
56   May 24 01:50 PM  May 24 08:19 PM 
57   May 24 01:42 PM  May 24 08:12 PM 
58   May 24 01:35 PM  May 24 08:05 PM 
59   May 24 12:32 PM  May 24 07:02 PM 
60   May 24 12:04 PM  May 24 06:30 PM 
61   May 24 07:56 AM  May 24 02:24 PM 
62   May 24 07:09 AM  May 24 01:42 PM 
63   May 24 07:01 AM  May 24 01:32 PM 
64   May 24 05:51 AM  May 24 12:27 PM 
65   May 24 04:26 AM  May 24 11:01 AM 
