Sample   Start  End 
127   May 17 04:08 PM  May 18 12:47 AM 
128   May 17 04:08 PM  May 18 12:52 AM 
129   May 17 04:07 PM  May 18 01:06 AM 
130   May 17 04:04 PM  May 18 12:57 AM 
131   May 17 04:02 PM  May 18 12:47 AM 
132   May 17 04:00 PM  May 18 12:50 AM 
133   May 17 03:59 PM  May 18 12:50 AM 
134   May 17 03:57 PM  May 18 12:55 AM 
135   May 17 03:57 PM  May 18 12:43 AM 
136   May 17 03:55 PM  May 18 12:53 AM 
137   May 17 03:21 PM  May 18 12:32 AM 
138   May 17 03:21 PM  May 18 12:27 AM 
139   May 17 03:19 PM  May 18 12:28 AM 
140   May 17 03:14 PM  May 17 05:47 PM 
141   May 17 03:12 PM  May 17 05:47 PM 
142   May 17 03:12 PM  May 17 05:45 PM 
143   May 17 02:27 PM  May 17 05:03 PM 
144   May 17 02:23 PM  May 17 04:59 PM 
145   May 17 02:22 PM  May 17 04:59 PM 
146   May 17 02:21 PM  May 17 04:53 PM 
147   May 17 02:21 PM  May 17 04:57 PM 
148   May 17 02:17 PM  May 17 04:53 PM 
149   May 17 02:01 PM  May 17 04:37 PM 
150   May 17 01:49 PM  May 17 04:25 PM 
151   May 17 01:47 PM  May 17 04:21 PM 
152   May 17 01:46 PM  May 17 04:24 PM 
153   May 17 01:45 PM  May 17 04:19 PM 
154   May 17 01:34 PM  May 17 04:12 PM 
155   May 17 01:34 PM  May 17 04:08 PM 
156   May 17 01:34 PM  May 17 04:09 PM 
157   May 17 01:33 PM  May 17 04:07 PM 
158   May 17 01:30 PM  May 17 04:05 PM 
159   May 17 01:28 PM  May 17 04:04 PM 
160   May 17 01:25 PM  May 17 05:18 PM 
161   May 17 01:25 PM  May 17 05:17 PM 
162   May 17 01:18 PM  May 17 05:11 PM 
163   May 17 12:27 PM  May 17 04:18 PM 
164   May 17 12:27 PM  May 17 04:20 PM 
165   May 17 12:25 PM  May 17 04:18 PM 
166   May 17 12:20 PM  May 17 04:12 PM 
167   May 17 12:20 PM  May 17 04:13 PM 
168   May 17 12:17 PM  May 17 04:08 PM 
169   May 17 12:16 PM  May 17 04:11 PM 
170   May 17 12:09 PM  May 17 04:02 PM 
171   May 17 12:08 PM  May 17 03:56 PM 
172   May 17 12:07 PM  May 17 04:00 PM 
173   May 17 12:06 PM  May 17 03:59 PM 
174   May 17 12:04 PM  May 17 03:55 PM 
