Sample   Start  End 
127   January 20 01:01 PM  January 20 03:04 PM 
128   January 20 01:00 PM  January 20 03:01 PM 
129   January 20 12:59 PM  January 20 03:06 PM 
130   January 20 12:46 PM  January 20 02:52 PM 
131   January 20 12:25 PM  January 20 02:35 PM 
132   January 20 12:18 PM  January 20 02:36 PM 
133   January 20 12:07 PM  January 20 02:23 PM 
134   January 20 11:56 AM  January 20 02:27 PM 
135   January 20 10:51 AM  January 20 01:29 PM 
136   January 20 10:41 AM  January 20 01:20 PM 
137   January 20 10:39 AM  January 20 01:18 PM 
138   January 20 10:38 AM  January 20 01:19 PM 
139   January 20 10:38 AM  January 20 01:18 PM 
140   January 20 10:37 AM  January 20 01:17 PM 
141   January 20 10:37 AM  January 20 01:17 PM 
142   January 20 10:36 AM  January 20 01:16 PM 
143   January 20 10:34 AM  January 20 01:14 PM 
144   January 20 10:34 AM  January 20 01:13 PM 
145   January 20 10:33 AM  January 20 02:16 PM 
146   January 20 10:33 AM  January 20 01:12 PM 
147   January 20 10:33 AM  January 20 01:13 PM 
148   January 20 10:33 AM  January 20 01:12 PM 
149   January 20 10:30 AM  January 20 02:17 PM 
150   January 20 10:29 AM  January 20 02:16 PM 
151   January 20 10:29 AM  January 20 02:09 PM 
152   January 20 10:23 AM  January 20 02:14 PM 
153   January 20 10:23 AM  January 20 02:12 PM 
154   January 20 10:22 AM  January 20 02:06 PM 
155   January 20 10:11 AM  January 20 02:00 PM 
156   January 20 10:09 AM  January 20 02:02 PM 
157   January 20 10:01 AM  January 20 01:57 PM 
158   January 20 09:37 AM  January 20 01:36 PM 
159   January 20 09:25 AM  January 20 01:24 PM 
160   January 20 09:22 AM  January 20 01:22 PM 
161   January 20 09:19 AM  January 20 01:20 PM 
162   January 20 09:19 AM  January 20 01:19 PM 
163   January 20 09:18 AM  January 20 01:19 PM 
164   January 20 09:18 AM  January 20 01:19 PM 
165   January 20 09:18 AM  January 20 01:18 PM 
166   January 20 09:17 AM  January 20 01:17 PM 
167   January 20 09:16 AM  January 20 01:16 PM 
168   January 20 09:16 AM  January 20 01:16 PM 
169   January 20 09:16 AM  January 20 01:15 PM 
170   January 20 09:15 AM  January 20 01:16 PM 
171   January 20 09:15 AM  January 20 01:15 PM 
172   January 20 09:15 AM  January 20 01:15 PM 
173   January 20 09:15 AM  January 20 01:15 PM 
174   January 20 09:13 AM  January 20 01:13 PM 
175   January 20 09:12 AM  January 20 01:13 PM 
176   January 20 09:11 AM  January 20 01:11 PM 
177   January 20 09:10 AM  January 20 01:11 PM 
178   January 20 09:09 AM  January 20 01:09 PM 
179   January 20 09:08 AM  January 20 01:09 PM 
180   January 20 09:08 AM  January 20 01:09 PM 
181   January 20 09:08 AM  January 20 01:08 PM 
182   January 20 09:07 AM  January 20 01:07 PM 
183   January 20 09:06 AM  January 20 01:06 PM 
184   January 20 09:06 AM  January 20 01:08 PM 
185   January 20 09:06 AM  January 20 01:07 PM 
186   January 20 09:05 AM  January 20 01:06 PM 
187   January 20 09:04 AM  January 20 01:06 PM 
188   January 20 09:03 AM  January 20 01:04 PM 
189   January 20 09:01 AM  January 20 01:01 PM 
190   January 20 09:00 AM  January 20 01:00 PM 
191   January 20 08:59 AM  January 20 12:59 PM 
192   January 20 08:59 AM  January 20 01:00 PM 
193   January 20 08:44 AM  January 20 12:46 PM 
194   January 20 08:18 AM  January 20 12:25 PM 
195   January 20 08:13 AM  January 20 12:18 PM 
196   January 20 08:06 AM  January 20 12:06 PM 
197   January 20 07:54 AM  January 20 11:56 AM 
198   January 20 06:48 AM  January 20 10:51 AM 
199   January 20 06:39 AM  January 20 10:40 AM 
200   January 20 06:36 AM  January 20 10:39 AM 
201   January 20 06:36 AM  January 20 10:37 AM 
202   January 20 06:35 AM  January 20 10:37 AM 
203   January 20 06:35 AM  January 20 10:37 AM 
204   January 20 06:33 AM  January 20 10:38 AM 
205   January 20 06:33 AM  January 20 10:35 AM 
206   January 20 06:32 AM  January 20 10:34 AM 
207   January 20 06:32 AM  January 20 10:34 AM 
208   January 20 06:31 AM  January 20 10:33 AM 
209   January 20 06:31 AM  January 20 10:33 AM 
210   January 20 06:30 AM  January 20 10:32 AM 
211   January 20 06:30 AM  January 20 10:32 AM 
212   January 20 06:28 AM  January 20 10:30 AM 
213   January 20 06:27 AM  January 20 10:29 AM 
214   January 20 06:26 AM  January 20 10:29 AM 
215   January 20 06:21 AM  January 20 10:23 AM 
216   January 20 06:20 AM  January 20 10:22 AM 
217   January 20 06:19 AM  January 20 10:22 AM 
