#str         Henry coeff (mol/kg/Pa)          error (mol/kg/Pa)   
0        0.00012168       5.19793e-06
1        6.21057e-05       1.1696e-06
2        6.13221e-05       1.90359e-06
3        4.52128e-05       1.27615e-06
4        5.99775e-05       3.24994e-06
5        5.99627e-05       1.75455e-06
6        8.91626e-05       3.57449e-06
7        0.000120867       1.92417e-06
8        0.000120542       2.45516e-06
9        6.02069e-05       3.30805e-06
10        9.83977e-05       8.44854e-06
11        8.58529e-05       1.2706e-06
12        5.80693e-05       3.00704e-06
13        6.10437e-05       1.68982e-06
14        6.1447e-05       1.68546e-06
15        6.11349e-05       2.85114e-06
16        8.72972e-05       1.50953e-06
17        8.59731e-05       2.26839e-06
18        8.5559e-05       1.87739e-06
19        4.62493e-05       4.37265e-06
20        4.6645e-05       7.83308e-06
21        6.15383e-05       9.98222e-07
22        6.41683e-05       4.47551e-06
23        6.16599e-05       1.80051e-06
24        7.88533e-05       2.82671e-06
25        7.99868e-05       2.20609e-06
26        8.0127e-05       3.2146e-06
27        7.91219e-05       4.30851e-06
28        6.2671e-05       2.34269e-06
29        8.78685e-05       1.81216e-06
30        8.50053e-05       2.25445e-06
31        7.66861e-05       5.07e-06
32        9.65443e-05       3.8539e-06
33        4.21068e-05       3.6816e-06
34        0.000104059       1.7294e-06
35        8.77062e-05       9.53128e-07
36        8.64303e-05       4.30711e-06
37        8.12526e-05       6.33304e-06
38        4.4813e-05       2.81633e-06
39        4.51021e-05       3.43421e-06
40        5.99428e-05       1.71815e-06
41        8.01078e-05       1.88009e-06
42        6.23176e-05       2.27381e-06
43        5.90762e-05       1.5193e-06
44        9.32869e-05       3.49115e-06
45        8.80388e-05       2.37133e-06
46        8.1623e-05       3.30313e-06
47        6.22347e-05       1.8216e-06
48        5.75084e-05       5.27536e-06
49        8.74453e-05       1.74407e-06
50        9.23547e-05       8.82648e-06
51        0.00012396       3.4999e-06
52        0.000147602       1.24445e-06
53        0.00014343       2.69001e-06
54        6.07444e-05       2.05478e-06
55        9.21579e-05       3.52697e-06
56        8.03592e-05       2.3198e-06
57        0.000154268       1.47045e-06
58        7.73879e-05       2.33762e-06
59        0.000141811       1.64774e-06
60        0.000111475       1.37217e-06
61        5.52037e-05       5.83478e-06
62        6.98037e-05       5.119e-06
63        8.31014e-05       1.33904e-06
64        8.79197e-05       3.28334e-06
65        0.000152633       2.26507e-06
66        0.000110737       3.83187e-06
67        0.00010312       3.29247e-06
68        6.84491e-05       1.69981e-06
69        0.000105957       6.7894e-06
70        9.9065e-05       2.83603e-06
71        6.89961e-05       1.63757e-06
72        0.000127328       5.09944e-06
73        8.56176e-05       5.71987e-06
74        9.9748e-05       3.67738e-06
75        9.34964e-05       2.73931e-06
76        7.64151e-05       4.04587e-06
77        9.79284e-05       3.19217e-06
78        0.00010874       4.39756e-06
79        0.000123471       9.67635e-06
80        8.78459e-05       7.05925e-06
81        6.68566e-05       1.81148e-06
82        6.67073e-05       2.52253e-06
83        0.000141186       2.02281e-06
84        5.93556e-05       1.07945e-06
85        7.65596e-05       4.69103e-06
86        7.67991e-05       6.91313e-06
87        0.000119297       4.8189e-06
88        0.000127818       3.173e-06
89        0.000124999       2.76915e-06
90        9.74343e-05       5.06656e-06
91        9.05944e-05       1.77831e-06
92        8.33646e-05       2.81217e-06
93        8.3541e-05       1.88569e-06
94        6.3762e-05       8.06743e-07
95        0.00012955       8.50664e-06
96        5.9497e-05       1.29468e-06
97        0.000126953       4.33349e-06
