#str         Henry coeff (mol/kg/Pa)          error (mol/kg/Pa)   
0        0.00115935       6.76729e-05
1        0.00146429       4.77067e-05
2        0.00208488       0.000188576
3        0.0015124       4.98385e-05
4        0.00181927       5.50119e-05
5        0.00151476       4.80063e-05
6        0.00200973       7.92128e-05
7        0.00166521       3.9365e-05
8        0.0013988       5.07697e-05
9        0.00137608       4.08558e-05
10        0.00110025       5.12341e-05
11        0.00167889       5.50207e-05
12        0.0016455       3.35278e-05
13        0.00151597       6.28383e-05
14        0.00168558       6.26473e-05
15        0.00114872       8.53751e-05
16        0.00134877       5.71651e-05
17        0.000878133       9.7104e-05
18        0.00113875       8.90466e-05
19        0.000933417       0.000108313
20        0.00121094       7.36664e-06
21        0.000728235       2.90539e-05
22        0.000763503       6.37933e-05
23        0.000490839       2.32867e-05
24        0.000971087       3.92686e-05
25        0.000627417       3.9662e-05
26        0.000638772       1.39163e-05
27        0.000910287       9.5894e-05
28        0.000666337       2.66057e-05
29        0.000909247       0.000116169
30        0.000300315       1.43854e-05
31        0.000174814       5.87077e-06
32        0.0011063       4.81842e-05
33        0.000767712       2.83366e-05
34        0.000872812       8.01562e-05
35        0.000927319       6.20224e-05
36        0.00194766       0.00014115
37        0.000391262       2.32297e-05
38        0.00208944       0.000220142
39        0.000522817       2.52766e-05
40        0.000713835       6.18819e-05
41        0.000929598       8.03726e-05
42        0.000640504       0.000104538
43        0.00134706       9.43465e-05
44        0.00150318       0.000184214
45        0.00108304       2.89526e-05
46        0.000798212       5.50914e-05
47        0.000791124       1.1828e-05
48        0.00131974       0.000151228
49        0.00160852       0.000167437
50        0.000673626       2.20608e-05
51        0.000701545       7.71809e-05
52        0.0004655       3.32053e-05
53        0.000495943       4.09202e-05
54        0.000583788       2.26686e-05
55        0.00261082       0.000160352
56        0.000568858       2.78024e-05
57        0.000498898       3.66315e-05
58        0.000958649       3.26904e-05
59        0.00192923       7.65144e-05
60        0.00113903       9.92931e-05
61        0.000908707       3.62719e-05
62        0.000739237       3.84413e-05
63        0.000917089       5.14553e-05
64        0.00146008       2.56617e-05
65        0.000466338       8.60638e-05
66        0.000453491       4.43897e-05
67        0.00238315       0.000312566
68        0.000634368       5.568e-05
69        0.000571023       1.53888e-05
70        0.00147447       0.000111024
71        0.00136997       5.08461e-05
72        0.000512165       2.63042e-05
73        0.000696014       3.37929e-05
74        0.000433894       2.62775e-05
75        0.000817332       2.44493e-05
76        0.00049235       3.80234e-06
77        0.000441286       4.39063e-05
78        0.00108237       5.04414e-05
79        0.00144043       0.000119284
80        0.000981505       2.57986e-05
81        0.00056314       2.38729e-05
82        0.000679891       2.50031e-05
83        0.00116669       8.95922e-05
84        0.000683703       5.0674e-05
85        0.000401259       4.14547e-05
86        0.000908032       2.66025e-05
87        0.000902303       8.53418e-05
88        0.000257933       1.58608e-05
89        0.000835228       3.9155e-06
90        0.000644557       4.53647e-05
91        0.00115171       3.38799e-05
92        0.00202933       0.000145698
93        0.00139246       6.24215e-05
94        0.000800593       5.95826e-05
95        0.00104085       0.00010382
96        0.00118525       6.65524e-05
97        0.000987278       6.43238e-05
98        0.00127032       3.7286e-05
99        0.000804079       2.72826e-05
100        0.0024339       7.42652e-05
